# Convert resistence to temperature
# T(K)	R/R0	(DR/DT)/Ro
13.00	0.00123	2.033E-04
13.10	0.00125	2.083E-04
13.20	0.00127	2.133E-04
13.30	0.00129	2.184E-04
13.40	0.00132	2.235E-04
13.50	0.00134	2.288E-04
13.60	0.00136	2.341E-04
13.70	0.00139	2.395E-04
13.80	0.00141	2.450E-04
13.90	0.00143	2.506E-04
14.00	0.00146	2.562E-04
14.10	0.00149	2.619E-04
14.20	0.00151	2.677E-04
14.30	0.00154	2.735E-04
14.40	0.00157	2.794E-04
14.50	0.00160	2.854E-04
14.60	0.00162	2.914E-04
14.70	0.00165	2.976E-04
14.80	0.00168	3.037E-04
14.90	0.00171	3.100E-04
15.00	0.00175	3.163E-04
15.10	0.00178	3.227E-04
15.20	0.00181	3.292E-04
15.30	0.00184	3.357E-04
15.40	0.00188	3.423E-04
15.50	0.00191	3.490E-04
15.60	0.00195	3.558E-04
15.70	0.00198	3.626E-04
15.80	0.00202	3.695E-04
15.90	0.00206	3.765E-04
16.00	0.00209	3.836E-04
16.10	0.00213	3.907E-04
16.20	0.00217	3.979E-04
16.30	0.00221	4.052E-04
16.40	0.00225	4.126E-04
16.50	0.00230	4.201E-04
16.60	0.00234	4.276E-04
16.70	0.00238	4.352E-04
16.80	0.00242	4.429E-04
16.90	0.00247	4.506E-04
17.00	0.00252	4.585E-04
17.10	0.00256	4.664E-04
17.20	0.00261	4.744E-04
17.30	0.00266	4.825E-04
17.40	0.00270	4.906E-04
17.50	0.00275	4.989E-04
17.60	0.00280	5.072E-04
17.70	0.00286	5.155E-04
17.80	0.00291	5.240E-04
17.90	0.00296	5.325E-04
18.00	0.00301	5.411E-04
18.10	0.00307	5.497E-04
18.20	0.00312	5.585E-04
18.30	0.00318	5.673E-04
18.40	0.00324	5.761E-04
18.50	0.00330	5.851E-04
18.60	0.00335	5.941E-04
18.70	0.00341	6.031E-04
18.80	0.00348	6.122E-04
18.90	0.00354	6.214E-04
19.00	0.00360	6.307E-04
19.10	0.00366	6.400E-04
19.20	0.00373	6.494E-04
19.30	0.00379	6.589E-04
19.40	0.00386	6.684E-04
19.50	0.00393	6.779E-04
19.60	0.00399	6.876E-04
19.70	0.00406	6.972E-04
19.80	0.00413	7.070E-04
19.90	0.00421	7.168E-04
20.00	0.00428	7.267E-04
20.10	0.00435	7.366E-04
20.20	0.00443	7.466E-04
20.30	0.00450	7.566E-04
20.40	0.00458	7.667E-04
20.50	0.00465	7.769E-04
20.60	0.00473	7.871E-04
20.70	0.00481	7.974E-04
