# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Ndata(s)	Tdito (K)	Rv (Ω)	Vout (mV)
30	251.052	91	166
85	248.156	90	172
130	245.839	89	177
170	242.493	88	182
209	240.916	87	187
250	238.6	86	191
300	235.993	85	197
345	233.097	84	202
390	231.36	83	209
440	229.043	82	213
482	226.147	81	218
539	223.831	80	223
577	221.224	79	229
629	218.908	78	233
680	215.722	77	239
729	213.695	76	244
777	211.378	75	248
829	209.062	74	253
880	206.745	73	258
930	204.428	72	265
980	201.532	71	268
1030	199.215	70	273
1077	196.899	69	278
1130	194.582	68	282
1175	192.265	67	287
1128	189.659	66	290
1276	187.632	65	295
1337	184.157	64	299
1384	181.84	63	303
1440	178.365	62	308
1496	174.311	61	312
1548	171.415	60	317
1600	168.809	59	321
1661	165.623	58	325
1710	163.017	57	329
1766	160.121	56	334
1821	156.641	55	338
1877	153.75	54	342
1929	150.854	53	345
1977	147.958	52	350
2027	144.483	51	353
2088	139.85	50	356
2110	138.402	49	359
2150	134.058	48	362
2187	131.162	47	365
2222	127.687	46	369
2260	123.633	45	372
2296	121.316	44	373
2335	117.262	43	377
2370	114.076	42	380
2392	112.339	41.5	381
2412	110.601	41	383
2433	108.285	40.5	384
2448	106.387	40	385
2468	105.678	39.5	388
2488	104.52	39	389
2510	103.651	38.5	390
2529	102.493	38	392
2551	99.5968	37.5	392
2570	97.281	37	393
2586	94.9634	36.5	395
2603	93.805	36	396
2623	91.198	35.5	396
2638	90.04	35	397
2656	88.5924	34.5	396
2673	87.144	34	395
2690	85.69	33.5	392
2710	83.959	33	387
2720		32.5	381
2735	81.35	32	378
2753	79.904	31.5	372
2770	78.162	31	373
2790	76	30.5	375
2805	74.6922	30	377
2828	73.53	29.5	378
2850	71	29	380
2870	68.9	28	382
2910	66.0045	27	388
2950	63.39	26	390
2995	61.08	25	394
3052	57.896	24	398
3106	55.87	23	402
3165	53.552	22	406
