# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Riscaldamento
# Ndata(s)	Tdito (K)	Rv (Ω)	Vout (mV)
22	129.425	48	319
121	124.739	47	325
220	121.026	46	332
305	116.393	45	338
392	112.918	44	343
466	108.574	43	348
540	105.099	42	354
574	103.072	41.5	356
616	101.334	41	360
658	99.0177	40.5	362
689	97.5697	40	364
724	96.7009	39.5	366
765	94.6738	39	368
793	93.805	38.5	371
829	92.0675	38	374
865	90.6196	37.5	376
890	90.0404	37	377
930	88.5924	36.5	378
965	87.7237	36	381
1008	85.2757	35.5	383
1036	84.5382	35	386
1075	83.95	34.5	387
1109	81.061	34	388
1145	79.325	33.5	388
1165	77.089	33	389
1212	74.69	32.5	390
1227	72.665	32	390
1265	70.0567	31.5	392
1298	68.3212	31	393
1319	66.0045	30.5	394
1357	65.8461	30	396
1370	63.39	29.5	397
1395	62.254	29	399
1460	59.056	28	401
1515	57.896	27	407
1570	56.7373	26	409
