# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Riscaldamento
# Ndata(s)	Tdito (K)	Rv (Ω)	Vout (mV)
185	76.71	22	424
290	82.511	23	424
380	86.54	24	423
464	90.33	25	421
550	92.2259	26	419
635	96.411	27	416
735	99.0177	28	413
830	102.203	29	409
880	103.361	29.5	407
915	104.809	30	405
955	105.678	30.5	403
1010	107.416	31	401
1059	108.864	31.5	399
1099		31.7	399.7
1111	110.022	32	400
1150	111.47	32.5	406
1215	112.628	33	411
1247	113.787	33.5	413
1300	115.235	34	415
1353	116.683	34.5	415
1420	118.42	35	414
1510	120.737	36	411
1610	122.74	37	408
1710	125.66	38	403
1825	128.556	39	400
1929	130.872	40	395
2058	133.758	41	390
2148	136.085	42	387
2361	140.718	44	378
2498	144.194	45	374
