# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento offset
# Ndata(s)	Tdito (K)	Rv (Ω)	Vout (mV)
10	88.882	26	419
118	93.228	27	419
222	97.5697	28	417
318	100.466	29	414
370	102.203	29.5	412
420	103.651	30	410
478	105.389	30.5	409
511	106.267	31	407
568	107.995	31.5	405
612	108.6	32	403
664	110.601	32.5	401
722	112.049	33	399
775	113.497	33.5	397
830	114.945	34	395
877	116.393	34.5	393
935	117.37	35	389
1025	120.158	36	384
1130	122.474	37	379
1242	125.37	38	373
1354	128.556	39	368
1455	130.583	40	364
