# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
52.394	0.396
52.394	0.400
52.683	0.396
52.683	0.396
52.973	0.410
53.263	0.405
53.552	0.396
53.842	0.396
53.552	0.405
54.131	0.415
54.131	0.396
54.131	0.410
54.711	0.400
55.000	0.400
55.000	0.410
55.579	0.405
55.579	0.405
55.869	0.405
56.158	0.400
56.448	0.405
56.448	0.400
56.738	0.410
57.027	0.400
57.027	0.405
57.317	0.396
57.606	0.405
57.896	0.410
57.896	0.415
58.475	0.405
58.186	0.405
58.765	0.405
59.054	0.410
59.054	0.410
59.634	0.415
59.634	0.396
59.923	0.396
59.923	0.410
60.213	0.405
60.502	0.415
60.502	0.410
60.792	0.400
60.792	0.405
61.081	0.400
61.081	0.405
61.371	0.405
61.661	0.405
61.661	0.400
61.950	0.415
62.240	0.396
62.240	0.410
62.529	0.400
62.819	0.405
62.819	0.405
63.398	0.405
63.398	0.405
63.398	0.405
63.688	0.410
63.688	0.405
63.688	0.405
63.977	0.396
64.267	0.400
64.267	0.386
64.557	0.386
64.557	0.410
65.136	0.405
64.846	0.410
65.136	0.405
65.136	0.405
65.425	0.410
65.425	0.420
65.425	0.410
66.004	0.415
66.004	0.415
66.294	0.415
66.294	0.410
66.294	0.410
66.584	0.410
66.873	0.410
66.584	0.410
66.873	0.415
67.163	0.405
67.163	0.415
67.163	0.459
67.742	0.439
67.163	0.420
67.452	0.410
68.032	0.405
68.032	0.400
68.032	0.415
68.032	0.410
68.321	0.420
68.321	0.405
68.611	0.415
68.611	0.405
68.611	0.415
69.480	0.410
69.190	0.405
69.190	0.405
69.190	0.410
69.480	0.410
69.480	0.405
69.480	0.415
69.480	0.410
69.769	0.405
69.769	0.415
70.059	0.430
70.348	0.415
70.059	0.405
70.348	0.371
70.348	0.410
70.928	0.410
70.638	0.415
70.638	0.415
70.928	0.405
71.217	0.444
71.507	0.405
71.217	0.420
71.217	0.415
71.507	0.415
71.507	0.415
71.507	0.415
71.796	0.405
71.507	0.410
72.086	0.405
72.086	0.415
72.086	0.415
72.086	0.405
72.086	0.415
72.375	0.425
72.665	0.420
72.086	0.410
72.375	0.420
72.665	0.415
72.955	0.405
72.955	0.410
72.955	0.415
72.955	0.410
73.244	0.415
73.534	0.405
72.665	0.410
73.244	0.405
73.244	0.405
73.534	0.405
73.534	0.410
73.534	0.415
73.534	0.415
73.823	0.405
73.823	0.405
73.823	0.410
74.113	0.410
74.113	0.410
74.113	0.415
74.403	0.420
74.403	0.420
74.403	0.415
74.692	0.410
74.692	0.420
74.982	0.410
74.982	0.425
74.692	0.410
74.982	0.410
74.982	0.420
74.982	0.415
74.982	0.420
75.271	0.420
75.271	0.415
75.271	0.415
75.561	0.430
75.561	0.420
75.561	0.425
75.561	0.420
75.851	0.415
75.851	0.415
75.851	0.425
75.851	0.405
76.140	0.405
76.140	0.415
76.140	0.415
76.140	0.410
76.430	0.405
76.430	0.415
76.430	0.415
76.140	0.425
76.719	0.415
76.719	0.410
76.719	0.410
77.298	0.410
76.719	0.425
77.009	0.410
76.719	0.405
77.298	0.410
77.009	0.405
77.009	0.425
77.298	0.415
77.298	0.410
77.298	0.405
77.588	0.415
77.588	0.415
77.588	0.415
77.878	0.410
77.878	0.415
77.878	0.410
77.878	0.415
77.878	0.420
78.167	0.415
78.167	0.415
77.878	0.415
78.167	0.415
78.167	0.415
78.167	0.415
78.457	0.415
78.457	0.410
78.457	0.415
78.746	0.420
78.457	0.425
78.746	0.410
78.746	0.400
78.746	0.410
78.746	0.420
79.036	0.415
79.036	0.410
79.036	0.410
79.036	0.415
79.036	0.410
79.326	0.415
79.036	0.410
79.326	0.420
79.326	0.415
79.326	0.420
79.326	0.405
79.615	0.410
79.615	0.415
79.905	0.420
79.615	0.415
79.615	0.420
79.905	0.420
79.905	0.420
79.905	0.410
79.905	0.420
79.905	0.420
79.905	0.410
80.194	0.410
80.194	0.420
80.194	0.420
80.194	0.415
80.484	0.415
80.194	0.415
80.484	0.420
80.484	0.420
80.484	0.420
80.484	0.420
80.774	0.420
80.774	0.420
80.774	0.415
80.774	0.415
80.774	0.430
81.063	0.415
81.063	0.410
81.353	0.420
81.353	0.415
81.063	0.405
81.063	0.420
81.353	0.410
81.353	0.415
81.353	0.430
81.353	0.410
81.642	0.425
81.642	0.415
81.353	0.420
81.642	0.410
81.642	0.405
81.353	0.425
81.642	0.415
81.642	0.415
81.932	0.415
81.932	0.415
81.932	0.415
82.221	0.400
82.221	0.415
81.932	0.415
82.221	0.415
82.221	0.415
82.221	0.420
82.221	0.415
82.511	0.415
82.221	0.410
82.511	0.410
82.511	0.415
82.511	0.415
82.801	0.405
82.801	0.410
82.511	0.415
82.801	0.410
82.801	0.415
82.801	0.415
83.090	0.415
83.090	0.415
83.090	0.415
83.090	0.415
83.090	0.415
83.090	0.415
83.090	0.410
83.380	0.410
83.380	0.410
83.090	0.425
83.380	0.410
83.380	0.425
83.380	0.415
83.669	0.410
83.380	0.410
83.669	0.435
83.669	0.405
83.380	0.410
83.669	0.420
83.959	0.425
83.959	0.415
83.959	0.415
83.959	0.420
83.959	0.410
83.959	0.410
83.959	0.415
84.249	0.405
84.249	0.400
84.249	0.415
84.249	0.420
84.249	0.425
83.959	0.415
84.538	0.420
84.249	0.415
84.538	0.415
84.538	0.415
84.828	0.425
84.249	0.420
84.538	0.425
84.249	0.410
84.828	0.425
84.828	0.420
84.828	0.410
84.828	0.410
84.828	0.415
85.407	0.415
84.828	0.430
85.407	0.410
85.117	0.420
85.117	0.410
85.117	0.420
85.407	0.415
85.407	0.415
85.117	0.415
85.407	0.415
85.117	0.425
85.407	0.415
85.697	0.415
85.407	0.415
85.407	0.415
85.697	0.415
85.407	0.415
85.697	0.415
85.697	0.415
85.697	0.415
85.697	0.420
85.986	0.405
85.697	0.415
85.697	0.420
85.986	0.415
85.986	0.420
85.986	0.420
86.276	0.420
85.986	0.420
85.986	0.415
86.276	0.415
85.986	0.420
86.276	0.420
86.276	0.420
86.276	0.415
86.276	0.420
86.565	0.420
86.565	0.420
86.565	0.410
86.565	0.420
86.855	0.420
86.565	0.444
86.855	0.415
87.434	0.425
86.855	0.410
86.565	0.410
86.855	0.415
87.144	0.415
86.855	0.420
86.855	0.410
86.855	0.410
87.144	0.415
87.144	0.410
87.144	0.415
87.144	0.410
87.144	0.415
87.434	0.410
87.144	0.405
87.434	0.410
87.434	0.415
87.434	0.415
87.724	0.410
87.724	0.410
88.013	0.400
87.724	0.420
87.724	0.415
87.724	0.415
87.724	0.420
87.724	0.405
87.724	0.415
87.724	0.415
87.724	0.415
88.303	0.386
87.724	0.425
87.724	0.410
88.013	0.410
88.013	0.420
88.013	0.415
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.410
88.303	0.415
88.303	0.415
88.303	0.410
88.303	0.415
88.592	0.454
88.882	0.400
88.592	0.410
88.592	0.420
88.592	0.415
88.882	0.415
88.882	0.415
88.592	0.415
88.592	0.415
89.172	0.410
88.882	0.415
88.882	0.410
89.172	0.415
88.592	0.381
89.172	0.415
89.172	0.415
89.172	0.410
89.172	0.410
89.172	0.410
89.172	0.410
88.882	0.410
89.461	0.435
89.172	0.405
89.172	0.415
89.172	0.410
89.461	0.415
89.461	0.391
89.751	0.415
89.461	0.415
89.751	0.415
89.461	0.415
89.751	0.420
89.751	0.410
89.751	0.415
89.751	0.415
90.040	0.415
89.751	0.420
89.751	0.410
90.040	0.405
90.040	0.449
90.040	0.425
90.330	0.415
88.882	0.410
90.040	0.415
90.040	0.405
90.040	0.410
90.330	0.410
90.330	0.405
90.330	0.410
90.330	0.405
90.330	0.415
90.330	0.425
90.330	0.415
90.330	0.430
90.620	0.420
90.620	0.410
90.620	0.410
90.620	0.410
90.620	0.410
90.620	0.415
90.620	0.410
90.620	0.415
90.620	0.410
90.909	0.415
